lang_a,lang_b,phoneme_a,top_reflex,top_prob,total_count,entropy,all_reflexes,flag_reason
Azerbaijani,Chuvash,a,u,0.333,3,1.585,"u:1, a:1, y:1","H=1.585 bits — irregular, review for substrate"
Azerbaijani,Chuvash,s,z,0.333,3,1.585,"z:1, ʃ:1, ɕ:1","H=1.585 bits — irregular, review for substrate"
Azerbaijani,Kazakh,-,s,0.25,4,2.0,"s:1, ĭ:1, d:1, l:1","H=2.0 bits — irregular, review for substrate"
Azerbaijani,Yakut,i,i,0.429,7,1.557,"i:3, ɯ:2, iː:2","H=1.557 bits — irregular, review for substrate"
Chuvash,Kazakh,-,s,0.333,3,1.585,"s:1, d:1, q:1","H=1.585 bits — irregular, review for substrate"
Chuvash,Kyrgyz,-,i,0.4,5,1.922,"i:2, q:1, k:1, ʃ:1","H=1.922 bits — irregular, review for substrate"
Chuvash,Turkish,a,u,0.333,3,1.585,"u:1, a:1, e:1","H=1.585 bits — irregular, review for substrate"
Chuvash,Turkmen,-,q,0.333,3,1.585,"q:1, u:1, n:1","H=1.585 bits — irregular, review for substrate"
Chuvash,Uzbek,-,i,0.3,10,2.646,"i:3, ʃ:2, z:1, k:1, q:1, g:1, t:1","H=2.646 bits — irregular, review for substrate"
Chuvash,Uzbek,a,i,0.4,5,1.922,"i:2, -:1, e:1, o:1","H=1.922 bits — irregular, review for substrate"
Kazakh,Kyrgyz,-,i,0.4,5,1.922,"i:2, l:1, k:1, ʃ:1","H=1.922 bits — irregular, review for substrate"
Kazakh,Turkish,ɯ,ɯ,0.4,5,1.522,"ɯ:2, u:2, -:1","H=1.522 bits — irregular, review for substrate"
Kazakh,Turkmen,e,i,0.4,5,1.522,"i:2, e:2, æ:1","H=1.522 bits — irregular, review for substrate"
Kazakh,Uyghur,e,i,0.4,5,1.522,"i:2, æ:2, e:1","H=1.522 bits — irregular, review for substrate"
Kazakh,Uzbek,e,e,0.429,7,1.557,"e:3, a:2, i:2","H=1.557 bits — irregular, review for substrate"
Kyrgyz,Turkish,ɯ,u,0.333,3,1.585,"u:1, ɯ:1, -:1","H=1.585 bits — irregular, review for substrate"
Kyrgyz,Uyghur,-,ŋ,0.333,3,1.585,"ŋ:1, ɛ:1, n:1","H=1.585 bits — irregular, review for substrate"
Kyrgyz,Uyghur,e,æ,0.375,8,1.906,"æ:3, -:2, i:2, e:1","H=1.906 bits — irregular, review for substrate"
Kyrgyz,Yakut,e,i,0.429,7,1.842,"i:3, e:2, yː:1, -:1","H=1.842 bits — irregular, review for substrate"
Kyrgyz,Yakut,i,i,0.444,9,1.837,"i:4, ɯ:2, iː:2, -:1","H=1.837 bits — irregular, review for substrate"
Kyrgyz,Yakut,k,k,0.333,6,1.918,"k:2, -:2, s:1, kː:1","H=1.918 bits — irregular, review for substrate"
Turkish,Turkmen,k,q,0.333,12,1.585,"q:4, ɢ:4, k:4","H=1.585 bits — irregular, review for substrate"
Turkish,Yakut,-,i,0.333,6,2.252,"i:2, e:1, a:1, h:1, ø:1","H=2.252 bits — irregular, review for substrate"
Turkish,Yakut,a,aː,0.333,3,1.585,"aː:1, ɯ:1, a:1","H=1.585 bits — irregular, review for substrate"
Turkish,Yakut,k,k,0.333,6,2.252,"k:2, χ:1, -:1, h:1, kː:1","H=2.252 bits — irregular, review for substrate"
Turkmen,Yakut,i,i,0.429,7,1.557,"i:3, ɯ:2, iː:2","H=1.557 bits — irregular, review for substrate"
Uyghur,Uzbek,æ,e,0.333,3,1.585,"e:1, a:1, i:1","H=1.585 bits — irregular, review for substrate"
Uyghur,Yakut,æ,e,0.333,3,1.585,"e:1, i:1, iː:1","H=1.585 bits — irregular, review for substrate"
Uzbek,Yakut,i,i,0.5,10,1.761,"i:5, ɯ:2, iː:2, -:1","H=1.761 bits — irregular, review for substrate"
